	rplB_9	rplB_94
SRR2034335.553132-1/2	1.0	0.0
SRR2034335.553132-2/2	0.0	0.0
SRR2034335.555869-1/2	0.0	0.0
SRR2034335.555869-2/2	0.0	0.0
SRR2034335.560616-1/2	1.0	0.0
SRR2034335.560616-2/2	2.0	0.0
SRR2034335.566075-1/2	1.0	0.0
SRR2034335.566075-2/2	0.0	0.0
SRR2034335.569645-1/2	0.0	0.0
SRR2034335.569645-2/2	1.0	1.0
SRR2034335.570566-1/2	1.0	0.0
SRR2034335.570566-2/2	0.0	0.0
SRR2034335.5708-1/2	1.0	0.0
SRR2034335.5708-2/2	0.0	0.0
SRR2034335.575058-1/2	1.0	0.0
SRR2034335.575058-2/2	0.0	0.0
SRR2034335.575297-1/2	0.0	0.0
SRR2034335.575297-2/2	1.0	0.0
SRR2034335.578596-1/2	0.0	0.0
SRR2034335.578596-2/2	0.0	0.0
SRR2034335.57871-1/2	0.0	0.0
SRR2034335.57871-2/2	0.0	0.0
SRR2034335.581052-1/2	0.0	0.0
SRR2034335.581052-2/2	1.0	0.0
SRR2034335.581776-1/2	0.0	0.0
SRR2034335.581776-2/2	0.0	0.0
SRR2034335.586471-1/2	0.0	0.0
SRR2034335.586471-2/2	0.0	0.0
SRR2034335.588812-1/2	1.0	0.0
SRR2034335.588812-2/2	0.0	0.0
SRR2034335.589006-1/2	1.0	0.0
SRR2034335.589006-2/2	0.0	0.0
SRR2034335.589544-1/2	1.0	0.0
SRR2034335.589544-2/2	0.0	0.0
SRR2034335.591216-1/2	1.0	0.0
SRR2034335.591216-2/2	0.0	0.0
SRR2034335.593168-1/2	1.0	0.0
SRR2034335.593168-2/2	0.0	0.0
SRR2034335.6018-1/2	1.0	0.0
SRR2034335.6018-2/2	0.0	0.0
SRR2034335.603603-1/2	1.0	0.0
SRR2034335.603603-2/2	1.0	0.0
SRR2034335.607037-1/2	2.0	0.0
SRR2034335.607037-2/2	1.0	0.0
SRR2034335.610654-1/2	1.0	0.0
SRR2034335.610654-2/2	1.0	0.0
SRR2034335.613406-1/2	1.0	0.0
SRR2034335.613406-2/2	1.0	0.0
SRR2034335.614065-1/2	1.0	0.0
SRR2034335.614065-2/2	1.0	0.0
SRR2034335.616547-1/2	0.0	0.0
SRR2034335.616547-2/2	1.0	0.0
SRR2034335.616732-1/2	0.0	0.0
SRR2034335.616732-2/2	0.0	0.0
SRR2034335.624991-1/2	1.0	0.0
SRR2034335.624991-2/2	0.0	0.0
SRR2034335.631652-1/2	0.0	0.0
SRR2034335.631652-2/2	2.0	0.0
SRR2034335.637482-1/2	1.0	0.0
SRR2034335.637482-2/2	0.0	0.0
