	recG_15	recG_16
SRR2034335.689453-2/2	0.0	0.0
SRR2034335.696857-1/2	1.0	0.0
SRR2034335.696857-2/2	0.0	0.0
SRR2034335.698468-1/2	0.0	0.0
SRR2034335.698468-2/2	0.0	0.0
SRR2034335.701703-1/2	1.0	0.0
SRR2034335.701703-2/2	0.0	0.0
SRR2034335.704013-1/2	0.0	0.0
SRR2034335.704013-2/2	0.0	0.0
SRR2034335.709718-1/2	0.0	1.0
SRR2034335.709718-2/2	0.0	1.0
SRR2034335.710496-1/2	1.0	0.0
SRR2034335.710496-2/2	1.0	0.0
SRR2034335.710799-1/2	0.0	0.0
SRR2034335.710799-2/2	0.0	0.0
SRR2034335.713113-1/2	0.0	0.0
SRR2034335.713113-2/2	0.0	0.0
SRR2034335.714547-1/2	0.0	1.0
SRR2034335.714547-2/2	0.0	0.0
SRR2034335.717727-1/2	1.0	0.0
SRR2034335.717727-2/2	0.0	0.0
SRR2034335.719593-1/2	0.0	0.0
SRR2034335.719593-2/2	0.0	0.0
SRR2034335.722254-1/2	0.0	0.0
SRR2034335.722254-2/2	0.0	1.0
SRR2034335.724954-1/2	0.0	0.0
SRR2034335.724954-2/2	0.0	0.0
SRR2034335.730537-1/2	1.0	0.0
SRR2034335.730537-2/2	1.0	0.0
SRR2034335.733567-1/2	0.0	0.0
SRR2034335.733567-2/2	0.0	0.0
SRR2034335.735230-1/2	0.0	0.0
SRR2034335.735230-2/2	0.0	0.0
SRR2034335.736556-1/2	0.0	1.0
SRR2034335.736556-2/2	0.0	0.0
SRR2034335.736569-1/2	0.0	1.0
SRR2034335.736569-2/2	1.0	0.0
SRR2034335.739370-1/2	0.0	1.0
SRR2034335.739370-2/2	1.0	0.0
SRR2034335.742950-1/2	0.0	0.0
SRR2034335.742950-2/2	0.0	0.0
SRR2034335.744511-1/2	0.0	0.0
SRR2034335.744511-2/2	1.0	0.0
SRR2034335.747838-1/2	0.0	0.0
SRR2034335.747838-2/2	0.0	0.0
SRR2034335.748783-1/2	0.0	0.0
SRR2034335.748783-2/2	1.0	0.0
SRR2034335.751033-1/2	0.0	0.0
SRR2034335.751033-2/2	0.0	0.0
SRR2034335.753992-1/2	0.0	0.0
SRR2034335.753992-2/2	0.0	0.0
SRR2034335.755001-1/2	0.0	0.0
SRR2034335.755001-2/2	0.0	1.0
SRR2034335.759524-1/2	1.0	0.0
SRR2034335.759524-2/2	1.0	0.0
SRR2034335.761415-1/2	0.0	0.0
SRR2034335.761415-2/2	0.0	0.0
SRR2034335.763596-1/2	0.0	0.0
SRR2034335.763596-2/2	1.0	0.0
SRR2034335.763819-1/2	0.0	0.0
SRR2034335.763819-2/2	0.0	0.0
SRR2034335.772316-1/2	0.0	1.0
SRR2034335.772316-2/2	0.0	1.0
SRR2034335.774351-1/2	1.0	0.0
SRR2034335.774351-2/2	0.0	0.0
SRR2034335.774640-1/2	0.0	0.0
SRR2034335.774640-2/2	0.0	0.0
SRR2034335.775532-1/2	0.0	0.0
SRR2034335.775532-2/2	0.0	0.0
SRR2034335.780670-1/2	0.0	0.0
SRR2034335.780670-2/2	0.0	0.0
SRR2034335.782182-1/2	0.0	0.0
SRR2034335.782182-2/2	0.0	0.0
SRR2034335.782210-1/2	0.0	0.0
SRR2034335.782210-2/2	0.0	1.0
SRR2034335.782497-1/2	0.0	1.0
SRR2034335.782497-2/2	0.0	1.0
SRR2034335.791375-1/2	1.0	1.0
SRR2034335.791375-2/2	1.0	1.0
SRR2034335.793567-1/2	0.0	0.0
SRR2034335.793567-2/2	0.0	0.0
SRR2034335.799674-1/2	0.0	0.0
SRR2034335.799674-2/2	0.0	0.0
SRR2034335.805448-1/2	0.0	0.0
SRR2034335.805448-2/2	0.0	0.0
SRR2034335.805818-1/2	0.0	0.0
SRR2034335.805818-2/2	0.0	0.0
SRR2034335.806436-1/2	0.0	0.0
SRR2034335.806436-2/2	0.0	0.0
SRR2034335.808041-1/2	0.0	0.0
SRR2034335.808041-2/2	0.0	0.0
SRR2034335.809731-1/2	0.0	1.0
SRR2034335.809731-2/2	0.0	0.0
SRR2034335.810218-1/2	0.0	0.0
SRR2034335.810218-2/2	0.0	0.0
SRR2034335.817956-1/2	1.0	0.0
SRR2034335.817956-2/2	0.0	0.0
SRR2034335.818511-1/2	0.0	0.0
SRR2034335.818511-2/2	0.0	0.0
SRR2034335.819472-1/2	2.0	2.0
SRR2034335.819472-2/2	0.0	0.0
SRR2034335.821923-1/2	0.0	0.0
SRR2034335.821923-2/2	0.0	0.0
SRR2034335.822620-1/2	0.0	0.0
