	pyrG_168
SRR2034334.68785-1/2	0.0
SRR2034334.68785-2/2	0.0
SRR2034334.688920-1/2	0.0
SRR2034334.688920-2/2	0.0
SRR2034334.690794-1/2	0.0
SRR2034334.690794-2/2	0.0
SRR2034334.696550-1/2	0.0
SRR2034334.696550-2/2	0.0
SRR2034334.698434-1/2	0.0
SRR2034334.698434-2/2	0.0
SRR2034334.698817-1/2	0.0
SRR2034334.698817-2/2	0.0
SRR2034334.713063-1/2	0.0
SRR2034334.713063-2/2	0.0
SRR2034334.713386-1/2	0.0
SRR2034334.713386-2/2	0.0
SRR2034334.713965-1/2	0.0
SRR2034334.713965-2/2	0.0
SRR2034334.716089-1/2	0.0
SRR2034334.716089-2/2	0.0
SRR2034334.716654-1/2	0.0
SRR2034334.716654-2/2	0.0
SRR2034334.718096-1/2	0.0
SRR2034334.718096-2/2	0.0
SRR2034334.72492-1/2	0.0
SRR2034334.72492-2/2	0.0
SRR2034334.725529-1/2	0.0
SRR2034334.725529-2/2	0.0
SRR2034334.727684-1/2	0.0
SRR2034334.727684-2/2	0.0
SRR2034334.728451-1/2	0.0
SRR2034334.728451-2/2	0.0
SRR2034334.730831-1/2	0.0
SRR2034334.730831-2/2	0.0
SRR2034334.732036-1/2	0.0
SRR2034334.732036-2/2	0.0
SRR2034334.734125-1/2	0.0
SRR2034334.734125-2/2	0.0
SRR2034334.745364-1/2	0.0
SRR2034334.745364-2/2	0.0
SRR2034334.74584-1/2	0.0
SRR2034334.74584-2/2	0.0
SRR2034334.747749-1/2	0.0
SRR2034334.747749-2/2	0.0
SRR2034334.75278-1/2	0.0
SRR2034334.75278-2/2	0.0
SRR2034334.763828-1/2	0.0
SRR2034334.763828-2/2	0.0
SRR2034334.767027-1/2	0.0
SRR2034334.767027-2/2	0.0
SRR2034334.767463-1/2	0.0
SRR2034334.767463-2/2	0.0
SRR2034334.771010-1/2	0.0
SRR2034334.771010-2/2	0.0
SRR2034334.771964-1/2	0.0
SRR2034334.771964-2/2	0.0
SRR2034334.776594-1/2	0.0
SRR2034334.776594-2/2	0.0
SRR2034334.781508-1/2	0.0
SRR2034334.781508-2/2	0.0
SRR2034334.781671-1/2	0.0
SRR2034334.781671-2/2	0.0
SRR2034334.781923-1/2	0.0
SRR2034334.781923-2/2	0.0
SRR2034334.782807-1/2	0.0
SRR2034334.782807-2/2	0.0
SRR2034334.794052-1/2	0.0
SRR2034334.794052-2/2	0.0
SRR2034334.807496-1/2	0.0
SRR2034334.807496-2/2	0.0
SRR2034334.809708-1/2	0.0
SRR2034334.809708-2/2	0.0
SRR2034334.817991-1/2	0.0
