	recG_13	recG_15	recG_16
SRR2034334.64438-2/2	-1.0	0.0	1.0
SRR2034334.645589-1/2	0.0	0.0	0.0
SRR2034334.645589-2/2	1.0	0.0	0.0
SRR2034334.647233-1/2	2.0	0.0	1.0
SRR2034334.647233-2/2	2.0	0.0	0.0
SRR2034334.647244-1/2	0.0	0.0	0.0
SRR2034334.647244-2/2	1.0	0.0	0.0
SRR2034334.64967-1/2	1.0	0.0	0.0
SRR2034334.64967-2/2	0.0	0.0	0.0
SRR2034334.664206-1/2	0.0	0.0	0.0
SRR2034334.664206-2/2	1.0	0.0	0.0
SRR2034334.66686-1/2	0.0	0.0	0.0
SRR2034334.66686-2/2	1.0	0.0	0.0
SRR2034334.668856-1/2	1.0	1.0	1.0
SRR2034334.668856-2/2	0.0	0.0	0.0
SRR2034334.67510-1/2	1.0	0.0	0.0
SRR2034334.67510-2/2	0.0	0.0	0.0
SRR2034334.675536-1/2	0.0	0.0	0.0
SRR2034334.675536-2/2	1.0	0.0	0.0
SRR2034334.677849-1/2	1.0	0.0	0.0
SRR2034334.677849-2/2	0.0	0.0	0.0
SRR2034334.677918-1/2	-1.0	1.0	0.0
SRR2034334.677918-2/2	-1.0	1.0	0.0
SRR2034334.681328-1/2	0.0	0.0	0.0
SRR2034334.681328-2/2	1.0	0.0	0.0
SRR2034334.685132-1/2	0.0	0.0	0.0
SRR2034334.685132-2/2	1.0	0.0	0.0
SRR2034334.686535-1/2	1.0	0.0	1.0
SRR2034334.686535-2/2	1.0	0.0	0.0
SRR2034334.687332-1/2	0.0	0.0	0.0
SRR2034334.687332-2/2	2.0	0.0	1.0
SRR2034334.690883-1/2	1.0	0.0	0.0
SRR2034334.690883-2/2	0.0	0.0	0.0
SRR2034334.69242-1/2	1.0	0.0	0.0
SRR2034334.69242-2/2	0.0	0.0	0.0
SRR2034334.694839-1/2	2.0	0.0	0.0
SRR2034334.694839-2/2	0.0	0.0	0.0
SRR2034334.697775-1/2	1.0	0.0	0.0
SRR2034334.697775-2/2	0.0	0.0	0.0
SRR2034334.701608-1/2	1.0	0.0	0.0
SRR2034334.701608-2/2	0.0	0.0	0.0
SRR2034334.702987-1/2	-1.0	0.0	0.0
SRR2034334.702987-2/2	-1.0	0.0	1.0
SRR2034334.703638-1/2	-1.0	2.0	2.0
SRR2034334.703638-2/2	-1.0	0.0	0.0
SRR2034334.704148-1/2	1.0	0.0	0.0
SRR2034334.704148-2/2	0.0	0.0	0.0
SRR2034334.704649-1/2	1.0	0.0	0.0
SRR2034334.704649-2/2	0.0	0.0	0.0
SRR2034334.710209-1/2	-1.0	0.0	0.0
SRR2034334.710209-2/2	-1.0	0.0	0.0
SRR2034334.713983-1/2	-1.0	0.0	1.0
SRR2034334.713983-2/2	-1.0	1.0	2.0
SRR2034334.714440-1/2	0.0	0.0	0.0
SRR2034334.714440-2/2	0.0	0.0	0.0
SRR2034334.715631-1/2	0.0	0.0	0.0
SRR2034334.715631-2/2	1.0	0.0	0.0
SRR2034334.716902-1/2	1.0	1.0	0.0
SRR2034334.716902-2/2	1.0	1.0	0.0
SRR2034334.720642-1/2	2.0	1.0	0.0
SRR2034334.720642-2/2	1.0	0.0	0.0
SRR2034334.72655-1/2	-1.0	0.0	0.0
SRR2034334.72655-2/2	-1.0	0.0	1.0
SRR2034334.730081-1/2	1.0	0.0	0.0
SRR2034334.730081-2/2	1.0	0.0	0.0
SRR2034334.733751-1/2	0.0	0.0	0.0
SRR2034334.733751-2/2	0.0	0.0	0.0
SRR2034334.734070-1/2	0.0	0.0	1.0
SRR2034334.734070-2/2	1.0	0.0	0.0
SRR2034334.734396-1/2	2.0	1.0	0.0
SRR2034334.734396-2/2	0.0	0.0	0.0
SRR2034334.736434-1/2	0.0	0.0	0.0
SRR2034334.736434-2/2	1.0	0.0	0.0
SRR2034334.736863-1/2	-1.0	1.0	0.0
SRR2034334.736863-2/2	-1.0	0.0	0.0
SRR2034334.738722-1/2	0.0	0.0	0.0
SRR2034334.738722-2/2	0.0	0.0	0.0
SRR2034334.740095-1/2	0.0	0.0	1.0
SRR2034334.740095-2/2	1.0	0.0	0.0
SRR2034334.740208-1/2	1.0	1.0	0.0
SRR2034334.740208-2/2	1.0	0.0	0.0
SRR2034334.741251-1/2	-1.0	0.0	0.0
SRR2034334.741251-2/2	-1.0	1.0	2.0
SRR2034334.742659-1/2	-1.0	0.0	0.0
SRR2034334.742659-2/2	-1.0	0.0	1.0
SRR2034334.743179-1/2	1.0	0.0	0.0
SRR2034334.743179-2/2	0.0	0.0	0.0
SRR2034334.748102-1/2	-1.0	1.0	0.0
SRR2034334.748102-2/2	-1.0	0.0	0.0
SRR2034334.749847-1/2	1.0	0.0	0.0
SRR2034334.749847-2/2	0.0	0.0	0.0
SRR2034334.750068-1/2	2.0	0.0	1.0
SRR2034334.750068-2/2	2.0	0.0	1.0
SRR2034334.750915-1/2	0.0	0.0	0.0
SRR2034334.750915-2/2	0.0	0.0	0.0
SRR2034334.758473-1/2	0.0	0.0	0.0
SRR2034334.758473-2/2	0.0	0.0	0.0
SRR2034334.769517-1/2	-1.0	0.0	1.0
SRR2034334.769517-2/2	-1.0	0.0	0.0
SRR2034334.771787-1/2	1.0	0.0	0.0
SRR2034334.771787-2/2	0.0	0.0	0.0
SRR2034334.773079-1/2	0.0	0.0	0.0
SRR2034334.773079-2/2	0.0	0.0	0.0
SRR2034334.773714-1/2	0.0	0.0	0.0
SRR2034334.773714-2/2	1.0	0.0	0.0
SRR2034334.774521-1/2	0.0	0.0	0.0
SRR2034334.774521-2/2	1.0	0.0	0.0
SRR2034334.779051-1/2	1.0	0.0	1.0
SRR2034334.779051-2/2	0.0	0.0	0.0
SRR2034334.780005-1/2	0.0	0.0	0.0
SRR2034334.780005-2/2	0.0	0.0	0.0
