,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
112,113,clpA_192,clpX_80,nifS_78,pepX_54,pyrG_50,recG_179,rplB_148,uvrA_33,New
113,114,clpA_192,clpX_80,nifS_78,pepX_54,pyrG_50,recG_179,rplB_148,uvrA_130,New
114,115,clpA_192,clpX_80,nifS_78,pepX_54,pyrG_50,recG_179,rplB_41,uvrA_33,New
115,116,clpA_192,clpX_80,nifS_78,pepX_54,pyrG_50,recG_179,rplB_41,uvrA_130,New
116,117,clpA_192,clpX_80,nifS_78,pepX_54,pyrG_50,recG_49,rplB_148,uvrA_33,New
117,118,clpA_192,clpX_80,nifS_78,pepX_54,pyrG_50,recG_49,rplB_148,uvrA_130,New
118,119,clpA_192,clpX_80,nifS_78,pepX_54,pyrG_50,recG_49,rplB_41,uvrA_33,New
119,120,clpA_192,clpX_80,nifS_78,pepX_54,pyrG_50,recG_49,rplB_41,uvrA_130,New
120,121,clpA_192,clpX_80,nifS_78,pepX_54,pyrG_171,recG_179,rplB_148,uvrA_33,New
121,122,clpA_192,clpX_80,nifS_78,pepX_54,pyrG_171,recG_179,rplB_148,uvrA_130,New
122,123,clpA_192,clpX_80,nifS_78,pepX_54,pyrG_171,recG_179,rplB_41,uvrA_33,New
123,124,clpA_192,clpX_80,nifS_78,pepX_54,pyrG_171,recG_179,rplB_41,uvrA_130,New
124,125,clpA_192,clpX_80,nifS_78,pepX_54,pyrG_171,recG_49,rplB_148,uvrA_33,New
125,126,clpA_192,clpX_80,nifS_78,pepX_54,pyrG_171,recG_49,rplB_148,uvrA_130,New
126,127,clpA_192,clpX_80,nifS_78,pepX_54,pyrG_171,recG_49,rplB_41,uvrA_33,New
127,128,clpA_192,clpX_80,nifS_78,pepX_54,pyrG_171,recG_49,rplB_41,uvrA_130,New
128,129,clpA_60,clpX_45,nifS_44,pepX_164,pyrG_50,recG_179,rplB_148,uvrA_33,New
129,130,clpA_60,clpX_45,nifS_44,pepX_164,pyrG_50,recG_179,rplB_148,uvrA_130,New
130,131,clpA_60,clpX_45,nifS_44,pepX_164,pyrG_50,recG_179,rplB_41,uvrA_33,New
131,132,clpA_60,clpX_45,nifS_44,pepX_164,pyrG_50,recG_179,rplB_41,uvrA_130,New
132,133,clpA_60,clpX_45,nifS_44,pepX_164,pyrG_50,recG_49,rplB_148,uvrA_33,New
133,134,clpA_60,clpX_45,nifS_44,pepX_164,pyrG_50,recG_49,rplB_148,uvrA_130,New
134,135,clpA_60,clpX_45,nifS_44,pepX_164,pyrG_50,recG_49,rplB_41,uvrA_33,New
135,136,clpA_60,clpX_45,nifS_44,pepX_164,pyrG_50,recG_49,rplB_41,uvrA_130,New
136,137,clpA_60,clpX_45,nifS_44,pepX_164,pyrG_171,recG_179,rplB_148,uvrA_33,New
