,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
129,130,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_282,recG_91,rplB_23,uvrA_288,New
130,131,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_282,recG_91,rplB_23,uvrA_28,New
131,132,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_282,recG_91,rplB_23,uvrA_29,New
132,133,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_282,recG_27,rplB_294,uvrA_288,New
133,134,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_282,recG_27,rplB_294,uvrA_28,New
134,135,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_282,recG_27,rplB_294,uvrA_29,New
135,136,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_282,recG_27,rplB_23,uvrA_288,New
136,137,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_282,recG_27,rplB_23,uvrA_28,New
137,138,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_282,recG_27,rplB_23,uvrA_29,New
138,139,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_282,recG_259,rplB_294,uvrA_288,New
139,140,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_282,recG_259,rplB_294,uvrA_28,New
140,141,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_282,recG_259,rplB_294,uvrA_29,New
141,142,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_282,recG_259,rplB_23,uvrA_288,New
142,143,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_282,recG_259,rplB_23,uvrA_28,New
143,144,clpA_51,clpX_252,nifS_23,pepX_261,pyrG_282,recG_259,rplB_23,uvrA_29,New
144,145,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_85,recG_91,rplB_294,uvrA_288,New
145,146,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_85,recG_91,rplB_294,uvrA_28,New
146,147,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_85,recG_91,rplB_294,uvrA_29,New
147,148,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_85,recG_91,rplB_23,uvrA_288,New
148,149,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_85,recG_91,rplB_23,uvrA_28,New
149,150,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_85,recG_91,rplB_23,uvrA_29,New
150,151,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_85,recG_27,rplB_294,uvrA_288,New
151,152,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_85,recG_27,rplB_294,uvrA_28,New
152,153,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_85,recG_27,rplB_294,uvrA_29,New
153,154,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_85,recG_27,rplB_23,uvrA_288,New
154,155,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_85,recG_27,rplB_23,uvrA_28,New
155,156,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_85,recG_27,rplB_23,uvrA_29,New
156,157,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_85,recG_259,rplB_294,uvrA_288,New
157,158,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_85,recG_259,rplB_294,uvrA_28,New
158,159,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_85,recG_259,rplB_294,uvrA_29,New
159,160,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_85,recG_259,rplB_23,uvrA_288,New
160,161,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_85,recG_259,rplB_23,uvrA_28,New
161,162,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_85,recG_259,rplB_23,uvrA_29,New
162,163,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_282,recG_91,rplB_294,uvrA_288,New
163,164,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_282,recG_91,rplB_294,uvrA_28,New
164,165,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_282,recG_91,rplB_294,uvrA_29,New
165,166,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_282,recG_91,rplB_23,uvrA_288,New
166,167,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_282,recG_91,rplB_23,uvrA_28,New
167,168,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_282,recG_91,rplB_23,uvrA_29,New
168,169,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_282,recG_27,rplB_294,uvrA_288,New
169,170,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_282,recG_27,rplB_294,uvrA_28,New
170,171,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_282,recG_27,rplB_294,uvrA_29,New
171,172,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_282,recG_27,rplB_23,uvrA_288,New
172,173,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_282,recG_27,rplB_23,uvrA_28,New
173,174,clpA_51,clpX_252,nifS_24,pepX_86,pyrG_282,recG_27,rplB_23,uvrA_29,New
