,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
199,200,clpA_37,clpX_24,nifS_24,pepX_130,pyrG_128,recG_92,rplB_110,uvrA_28,New
200,201,clpA_37,clpX_24,nifS_24,pepX_130,pyrG_98,recG_127,rplB_23,uvrA_42,New
201,202,clpA_37,clpX_24,nifS_24,pepX_130,pyrG_98,recG_127,rplB_23,uvrA_28,New
202,203,clpA_37,clpX_24,nifS_24,pepX_130,pyrG_98,recG_127,rplB_110,uvrA_42,New
203,204,clpA_37,clpX_24,nifS_24,pepX_130,pyrG_98,recG_127,rplB_110,uvrA_28,New
204,205,clpA_37,clpX_24,nifS_24,pepX_130,pyrG_98,recG_92,rplB_23,uvrA_42,New
205,206,clpA_37,clpX_24,nifS_24,pepX_130,pyrG_98,recG_92,rplB_23,uvrA_28,New
206,207,clpA_37,clpX_24,nifS_24,pepX_130,pyrG_98,recG_92,rplB_110,uvrA_42,New
207,208,clpA_37,clpX_24,nifS_24,pepX_130,pyrG_98,recG_92,rplB_110,uvrA_28,New
208,209,clpA_37,clpX_24,nifS_24,pepX_31,pyrG_128,recG_127,rplB_23,uvrA_42,New
209,210,clpA_37,clpX_24,nifS_24,pepX_31,pyrG_128,recG_127,rplB_23,uvrA_28,New
210,211,clpA_37,clpX_24,nifS_24,pepX_31,pyrG_128,recG_127,rplB_110,uvrA_42,New
211,212,clpA_37,clpX_24,nifS_24,pepX_31,pyrG_128,recG_127,rplB_110,uvrA_28,New
212,213,clpA_37,clpX_24,nifS_24,pepX_31,pyrG_128,recG_92,rplB_23,uvrA_42,New
213,214,clpA_37,clpX_24,nifS_24,pepX_31,pyrG_128,recG_92,rplB_23,uvrA_28,New
214,215,clpA_37,clpX_24,nifS_24,pepX_31,pyrG_128,recG_92,rplB_110,uvrA_42,New
215,216,clpA_37,clpX_24,nifS_24,pepX_31,pyrG_128,recG_92,rplB_110,uvrA_28,New
216,217,clpA_37,clpX_24,nifS_24,pepX_31,pyrG_98,recG_127,rplB_23,uvrA_42,New
217,218,clpA_37,clpX_24,nifS_24,pepX_31,pyrG_98,recG_127,rplB_23,uvrA_28,New
218,219,clpA_37,clpX_24,nifS_24,pepX_31,pyrG_98,recG_127,rplB_110,uvrA_42,New
219,220,clpA_37,clpX_24,nifS_24,pepX_31,pyrG_98,recG_127,rplB_110,uvrA_28,New
220,221,clpA_37,clpX_24,nifS_24,pepX_31,pyrG_98,recG_92,rplB_23,uvrA_42,New
221,222,clpA_37,clpX_24,nifS_24,pepX_31,pyrG_98,recG_92,rplB_23,uvrA_28,Existing
222,223,clpA_37,clpX_24,nifS_24,pepX_31,pyrG_98,recG_92,rplB_110,uvrA_42,New
223,224,clpA_37,clpX_24,nifS_24,pepX_31,pyrG_98,recG_92,rplB_110,uvrA_28,New
224,225,clpA_37,clpX_24,nifS_43,pepX_130,pyrG_128,recG_127,rplB_23,uvrA_42,New
225,226,clpA_37,clpX_24,nifS_43,pepX_130,pyrG_128,recG_127,rplB_23,uvrA_28,New
226,227,clpA_37,clpX_24,nifS_43,pepX_130,pyrG_128,recG_127,rplB_110,uvrA_42,New
227,228,clpA_37,clpX_24,nifS_43,pepX_130,pyrG_128,recG_127,rplB_110,uvrA_28,New
228,229,clpA_37,clpX_24,nifS_43,pepX_130,pyrG_128,recG_92,rplB_23,uvrA_42,New
229,230,clpA_37,clpX_24,nifS_43,pepX_130,pyrG_128,recG_92,rplB_23,uvrA_28,New
230,231,clpA_37,clpX_24,nifS_43,pepX_130,pyrG_128,recG_92,rplB_110,uvrA_42,New
231,232,clpA_37,clpX_24,nifS_43,pepX_130,pyrG_128,recG_92,rplB_110,uvrA_28,New
232,233,clpA_37,clpX_24,nifS_43,pepX_130,pyrG_98,recG_127,rplB_23,uvrA_42,New
233,234,clpA_37,clpX_24,nifS_43,pepX_130,pyrG_98,recG_127,rplB_23,uvrA_28,New
234,235,clpA_37,clpX_24,nifS_43,pepX_130,pyrG_98,recG_127,rplB_110,uvrA_42,New
235,236,clpA_37,clpX_24,nifS_43,pepX_130,pyrG_98,recG_127,rplB_110,uvrA_28,New
236,237,clpA_37,clpX_24,nifS_43,pepX_130,pyrG_98,recG_92,rplB_23,uvrA_42,New
237,238,clpA_37,clpX_24,nifS_43,pepX_130,pyrG_98,recG_92,rplB_23,uvrA_28,New
238,239,clpA_37,clpX_24,nifS_43,pepX_130,pyrG_98,recG_92,rplB_110,uvrA_42,New
239,240,clpA_37,clpX_24,nifS_43,pepX_130,pyrG_98,recG_92,rplB_110,uvrA_28,New
240,241,clpA_37,clpX_24,nifS_43,pepX_31,pyrG_128,recG_127,rplB_23,uvrA_42,New
241,242,clpA_37,clpX_24,nifS_43,pepX_31,pyrG_128,recG_127,rplB_23,uvrA_28,New
242,243,clpA_37,clpX_24,nifS_43,pepX_31,pyrG_128,recG_127,rplB_110,uvrA_42,New
243,244,clpA_37,clpX_24,nifS_43,pepX_31,pyrG_128,recG_127,rplB_110,uvrA_28,New
244,245,clpA_37,clpX_24,nifS_43,pepX_31,pyrG_128,recG_92,rplB_23,uvrA_42,New
245,246,clpA_37,clpX_24,nifS_43,pepX_31,pyrG_128,recG_92,rplB_23,uvrA_28,New
246,247,clpA_37,clpX_24,nifS_43,pepX_31,pyrG_128,recG_92,rplB_110,uvrA_42,New
247,248,clpA_37,clpX_24,nifS_43,pepX_31,pyrG_128,recG_92,rplB_110,uvrA_28,New
248,249,clpA_37,clpX_24,nifS_43,pepX_31,pyrG_98,recG_127,rplB_23,uvrA_42,New
249,250,clpA_37,clpX_24,nifS_43,pepX_31,pyrG_98,recG_127,rplB_23,uvrA_28,New
250,251,clpA_37,clpX_24,nifS_43,pepX_31,pyrG_98,recG_127,rplB_110,uvrA_42,New
